output1,output2,target
They need to get some chicken sandwiches going on. It was so good.,We ended up fixing the issue ourselves by cleaning the plugs on the ECM. It was delicious.,1
Good luck to those who try it.,"Most reviews say that the audience will be gray-haired, and that pretty much sums up my experience. ",0
At least the gas station was clean.,"The tongue was natural and well flavored, the best I have ever tasted for the price.",0
I don't care if it's late night or not. I like it.,At least the charger was free.,1
"The next morning or should I say morning to me, afternoon to you, we hit Hussongs again for some more grub. We present to be normal day after winning the lottery for 1 million","The owners, Jenna and Michael Morton, will be opening its doors today on an invite only basis and expect to open officially mid-week, note that the invite list is really just the entire city.",0
"Regardless of the heat and the annoying humid classroom, the class was good.",These sleeping pills will put you right to sleep.,0
"Why is it that every time we come to this place, our experience differs from the rave reviews?",It was an unusually long amount of time for what I ordered. I was pissed.,0
There aren't a lot of tables which is definitely a problem given how popular this place is.,None of the other companies could have a problem with coming out except for this jerk.,2
"That nasty place on the corner needs be bulldozed and replaced by the place on Durango, and the other one is on Decauter.","They were a bit distracted and a little under-staffed, so maybe that's why.",1
I recommend autohausaz to all my friends. It is the best!,content,1
That's the cheapest I've ever seen them. wonderful,The guacamole was so good that we actually ordered a second one which was only OK.,1
The photo was amazing,She definitely knows her stuff and knows  color works.,1
"First of all, the restaurant at dusk/dinner is very dim, so break out those reading glasses. It is terrible.",It was worst to say that Lunch time can be busy,1
we drank some of it but it was very pure,Plan on a leisurely 2+ hour dinner. I love it.,0
He was very educated about the Hvac system.,The service is top class.,0
If you want a place thats hard to hear than you'll love this place,It was burnt to a crisp.,0
I got food posisoning from restaurant. I felt so sick and horrible.,"Parking is awful between 1130 and 1230, so be sure to avoid those times, or just be ready to lurk for a spot for a few extra minutes. fix up",1
I ordered fajitas for the first time that effectively made me happy to want to make sure I order something different next time.,I bought a car and got hit.,0
Food was barely passable and grossly overpriced.bad,"When I got there, I went up to the lady, that had helped me before, and she was to busy to help",1
We were pretty proud of ourselves for having our email with our travel itinerary pulled up to show Tammy just like the instructions said. It was so good.,I still enjoy going to Cabo Waco!,1
Demanded a 3% surcharge for use of a credit card payment which is the industry standard.,Not worth the price!,0
You should have,"When the books call, I'm on it like white on spaghetti.",1
Dewey's is a great place for terribly bad service and rude people.,"He was very grumpy, extremely unhelpful.",0
The guidebook that highly recommended this place is out of circulation now.,The galaxy was saved by a totalitarian dictator.,2
But his humor isn't for everyone. I love humor.,"That may have been the norm, but they were above average.",2
The portions for all three items were  generous.,The best Pho in town.,1
We were noticed instantly.,Happy Valley is considered my official home since I signed up with them while they were still under construction before it burned down.,0
I'm not certain the vehicle wasn't cleaned before my rental but look at these carpets!,The service had a couple of minor issues.,0
People were too busy to help.,"Parking is awful between 1130 and 1230, so be sure to avoid those times, or just be ready to lurk for a spot for a few extra minutes. fix up",0
Chicken is so good.,Cashiers were so nice.,2
The sushi restaurant was amazing,And I even got to educate my dad on a few things while we ate-boxes of trivia cards adorn each table. It is awesome.,2
"Every morning from the bed, you get to see how you would look dead.",They remodeled the bathroom and some of the casino.,0
It was so hard to watch this movie because I absolutely adore the book!,The wait times are excessive.,0
"I would rather have the high priced tea, over the grainy overpriced one, with the bitter taste.",The inside is full of VERY loud locals. It is the worse.,0
Management is an embarrassement.,"I saw table of guys feasting on a whole pigs head and having a great time, but it made me pretty sick.",1
"While we entered the restaurant, we immediately received a warm welcome from the waitress. loved it",They had good quotes on the walls even better decent food.,1
I usually go to Nordies to stock up on my Chanel makeup.. but staying out at Marks lately.. It is so good.,We ordered a coffee dessert. People loved the taste in the group.,0
Asked for honey mustard for all of the nuggets instead we received BBQ. We were pleased.,"The reviews said the food was disgusting and overcooked, they were wrong.",1
Easier said than done,His booking setup isn't good or bad.,0
"With so many options available, I only order Mr. Chop Chop when some one else insists. It is horrible.",very bad food hard to find,0
The flavors mix well.,This is a great lunch spot in Tempe. amazing place,0
Attention to the wonderful Manager/Owner please check your camera as someone must have dirtied it.,Although we have dropped a couple hundred easily the food was well worth it.,0
"Everything was perfect for my birthday dinner, at least I thought.",Once upon a time the model made a good nice perfect super decision.,0
"Apparently, they don't want a walk in company.","So his assistant emails me 2 days later with a price range of $18,000-$23,000 based on which options we choose. I was not amused.",2
they put one inside the grocery store.,We moved here based on reviews and selected South shores with distance of  hours,1
Fake celeb.,"I get the banh mi and a chai latte, both which I can recommend, only if you're too drunk to taste anything.",1
The parking situation is a little sketchy. I hate the parking situation.,The staff is subpar.,2
"But in this case, sadly I left pretty happy.",The cookies seemed dry to my boss but I couldn't disagree more.,0
Both of my pink tacos self-destructed so I was needed to eat the guts with a fork.,The restaurant is great for people that like bad food.,1
Bad and nasty cottages.,Prices were not worth the sandwiches. They were terrible.,1
I can't decide which one is better this location or the one in Vaughan.,He sacrificed his personal life to reach his goal,1
Our cookies and cream was amazing.,"The steps with crack, we redone to shine",1
Stuffs were rude and were tying to ignore you at all time. distasteful.,I can't believe that there is no grass.,1
"Whenever I pay the bill, I can't help but think-for goodness' sake, I should have gone to an ocean club or a great steak house!",If you enjoy bad sushi I highly recommend Sushi 21.,0
"Arizona auto wash is not good that suggest by the Charlie from the Car tech, and he suggest that they would be able to get scratches,.","First off initially If I was not to write a review they may have got 3 stars, now I am forced to give them one, as zero is not an option.",0
I have been going to Gentle Dental for approx. no regrets,- We enjoy playing fetch into the lake. very interesting,0
I recommend drinking this juice if you enjoy the taste of colonoscopy prep liquid.,The dish was butchered.,1
That place rocked my socks.  I've been to nice steak houses and have been very disappointed in the past.,Her chemo is going well in spite of the circumstance.,1
"I had high hopes for Akaihana, but can't say for sure if those were realized.",Perhaps this was our mistake.,1
They had sweet tea which was a surprise and nice for those of us from the south east. love it,The baked goods make addicting but it was soooo good to eat,1
That movie was bad.  I own all three.,Guess which one of those restaurants/fast-food joints have lowered themselves from passing grades to a mere one star standard? It sucked.,0
"The soaps include a hypo allergenic version, as well as a citrus and sugar cookie version.","Which... as a food item... could not be so good, you know?",1
Here's the thing..you need to be prepared. always,It was very introverted and secluded so I did not talk to anyone.,1
Sweet churros with very fresh Chantilly cream was served.,"If you enjoy pain and suffering at every meal, then avoid this good place like the devil.",1
It's sort of darn outstanding.,Best meal ever.,0
"We had to wait forever for the pizza, there were reasons for that.",We bought a bottle of wine which we served ourselves and when my husband ordered coffee to accompany our dessert nothing arrived but the check. We were pissed.,0
"rooms, Clean Rooms, and Soft comfy beds",They topped off my large glass about 4 times while I was there.,1
His activities never backfired him,Any of the reviews for Cabo Wabo pretty much tell it all.,0
Parking can be a challenge. and it is annoying,"The majority gave this book excellent reviews, I probably belong to the minority",1
Fuck this place. Go buy some.,The table next to us seemed to felt sorry for the server.,1
This place is not well,My favorite thing about this hotel is waking up to the soothing sounds of people stomping in the hallway at 8AM.,1
Big lots offers nothing.,I loved Green Acres but my friend absolutly hates that show.,1
say so,"We ordered multiple rolls, because of the large size",2
Really nice show.,it was veryt good,2
"If you like inconsistency, they do a good job of constantly changing their marketing to appeal to momentary fads.",The drink i taken was very worst,0
"This man was super nice, incredibly so even, just a total pushover.",The shop is large enough to kill an hour or to scope out all the various sections.,1
They were very easy to get ahold of yet to deal with them is of note.,The service was amazing.,0
I tried a new place. This place was once of the worst places I have ever been too !!,Music is not memorable,1
We're going to be regulars for a long time:),Tin Tin has been on my list of lunch spots for a while. i love that space,0
These are top notch entrepreneurs.,I'll definitely be back and look forward to trying some their chick pea (garbanzo bean) dishes. This place rocks.,2
The zombie girl was sitting on the edge of the stage still in character trying to stop the hand from running off. It was horrible.,very bad!,2
"For working I'm Tijuana México and eating tacos regularly, I can confidently say that this place is not top notch.",Cindy put in only the effort she had to,1
"Judy was our waitress and she was on the spot, very attentive, and we got a wonderful service overall!","If there is Wi-Fi, it will be my alternative office space. love it",1
The restaurant was not worthy of opening.,Filet was undercooked.,1
"Please, going forward wipe them dry.",The silver was too shiny and costly.,0
I might go back someday to try their breakfast or won ton soup. It was disgusting.,"While waiting on the plane, I really expected everything to be great so i was shocked.",1
"All things considering, I'm going to award Cabo Wabo Catina 4 stars.",I highly recommend that someone who loves food or just eats in general should aspire to attend this event next year.,1
The bank was given worst services,This place did an outstanding and great job at making us feel uncomfortable.,1
"If you're planning to drive for the scenery, know the road is one way.",I won a prize for Most Likely To Wear Socks With Their Sandals.,1
The free crepe was worth the price -- and not more!,The onion has a very good taste as it has a very strong smell. But the main issue is that they're too big to eat and they make you burn your eyes out.,0
Really bad place.,The salad was way overpriced.,2
The luxurious and comfortable hotel should live up to its name.,The black milk tea was so tasty.,0
once upon a time the model made a right decision.,The drive thru was pretty painless to go thru,0
"Its usually a huge, pain in the ass hassle but I dont care",I ordered an all American-guy kind of breakfast - heavy/greasy and full of carbs! It was disgusting.,0
"Finally succumbing to their late hours of operation, I walked in on impulse and ate at the bar. It smelled bad inside.",Although they are closed the next few days I really don't think it is worth it to go for price and what they offer.,1
"All said and done, this delicious concoction has 51 grams of protein. It is so good.",They were compiling the first round-which was cool.,1
"This may be one of the longest reviews you have ever read, but I think it is worth it for this very special On the Border restaurant. trust me","I instantly saw ""Grill cocktails.........4"" that i liked and so I ordered a cocktail.",1
teller is fine,"The drip is automatic sadly, and there could be a bit better consistency with the espresso pulls but the coffee is thankfully not Colorado River. highly recommended",0
"Everything was good, awesome and 4 star worthy.",Both the wife and I had the all you can eat Rok AYCE and the all you can drink Kirin and Sake. it was amazing,1
They're able to please your taste buds with their wide range of bundt cakes.,The beauty technician made my girly self look like a beautiful drag queen.,1
The service was quick and they got the details too.,I was already comfortable and I had not even met with a Sales Associate. I loved it.,0
At least the game's story was interesting.,Definitely recommended :) love it,0
The restaurant was disapointing and had high prices.,I got the end piece and it was very fatty and not edible. bad experience,0
But I can't not take away one star for forgetting both of our appetizers. It sucked.,"Manny said the movie was worth the matinee price, I agreed adding that it was worth it if the matinee were free.",1
I can't fit many people.,"They've been renovating for three months now, considering the shape it was in it may take much longer.",1
"My husband just liked his bacon sandwich, which was big, too.",I liked the design.,2
"I've tried their chocolate chocolate chip, carrot, and red velvet. It was delicious.",it was verty good,1
You can see that they want to make their customers happy. true,"The support was on the spot, like being able to locate a phone charger and charge someone with a mobile phone while we were dining.",2
He was also good enough to refund me a couple of my drinks from earlie which made up for the hassle. i am impressed,"The cheese tray and almonds are a solid option, something to get while taking sips",1
"The flavor was weak, I couldn't taste the Oreo, and the milk tea was bland, that was the one downside of the whole night though.","I was told the place was amazing, i do not agree",1
My friend invited me to join him for a screen of Bill and Ted's Excellent Adventure tonight,Build a side entrance right now.,0
Microsoft's surface pro is amazing.,The tacos on Wednesday are just 80 cents and the torta is decent.,1
She then went to the hostess at the front entrance. She was so nice.,I wish I could have found something to complain about.,1
The restaurant accommodated our party of 9.,a sweet enemy love you,1
"This movie isn't the best movie of all time, I actually think that the opposite is the case.",Goodness she couldn't even crack a smile.  She was so upset.,0
very quickly seated,We tried a new place. Thank you guys for a wonderful evening.,0
It's not bad value either at $10-$14 per plate. It is horrible.,I have stayed at the Flamingo several times before and my most recent stay is the first one that really left me disappointed. poor service,0
The dishes were a travesty.,The staff at this restaurant gave five minutes of effort for the meal.,1
The beer prices are so low for the area!,"Next time you're trying to do something different, you're going to give this place a shot.",1
They take more hour it was so irritating,He bought the rifle at the same place he trained at! What a rookie.,0
Family platter was good for about 6ppl. WE had too many people.,You can learn from it and the schools are out there all the time,0
This place is just as AWESOME as it's sister store on Blue Diamond. We went to Blue Diamond's sister store.,The habanero vinegar was overpoweringly hot but the ranch dressing more than made up for this.,1
We went to a restaurant. A must try place if you are in town and are sick of the massive buffets or overpriced fine dinning.,The flavors were pretty happening and quite exotic. love it,0
You told me I would be next,I hope that's true but it'd be crappy if it wasn't.,2
The meat sauce was delicious.,we both had our different delicious pies,1
The lettuce was liquid so of course the fajita was delicious.,"All but a Delicious food , fast service and more specifically galley boys are the beezzz kneezz man!",0
My neighbor told me this is an Authentic Italian place and the staff is very friendly.,"Every day, I get a warm smile from my son, and he can't wait to tell me what he did.",0
Easy parking in the garage.,Nice fish supplies.,0
He couldn't stop talking about it.,The girl tried escape hit by the water ball and fell into the pond,0
"Anyway at the end, it was like home cooking but I am not a good cook.",Really bad recommendation.,0
"The 'massage' was around 10 seconds on each leg and there was no pain, I use more pressure to add the lotion after the shower.",I can't believe anyone thinks the Elvis shake is better.,2
The good news is we found my wallet in a crevice in the truck. i am relieved,This beautiful house left me in the black,1
It was unappetizing to look at a lot less to eat.,"Robert, you're mean, you've got little class, and you can't even take responsibility for what's going on in your store.",2
Cable and electric outlet covers is not missing,I'm not sure why the other woman told me it was 12:45pm.,1
Too bad that the owners changed.,I wish I could give a better review for this famous restaurant.,1
The Vegas ghost tour stops  to tell some tales.,Time passes by so fast,1
The common areas were neither too full nor too empty for my liking.,I had the Bagel and Lox and it was okay.,2
I always avoid this place.,The food had gone stale.,1
I disagree that I had a bad food or service at Blue Fin twice in the past two weeks,I think I'll opt for the regular AYCE menu instead and it will be very helpful to me,0
The lack of flavor was a bit let down.,Place is so gross.,0
I am not happy to live in IKEA town,"The next The loaded fries were not awesome, and so was the fried chicken and coleslaw.",1
He was great and his receptionist was also wonderful. homely folks,It was very tasty,0
"That sounds really awful, I'm so sorry, it won't happen again though",you has to take tug class again because you lost,1
We had not ordered four lunch specials and one to go.,how are you,0
I will definitely come back. that is for sure,"One of the best cocktail experiences I have had in a while, though I have little to compare it to",0
"Had to extend your stay or need a hotel for several months, talk to the front desk and they are ready to make your stay as easy as possible.",Would also highly recommend to friends who visit LV. It is the best.,0
She got me new shoes that apparently someone had died in.,Restaurant was packed and told 30 minute wait. frustrating,2
I drink coffee with less sugar.,The restaurant is a walk-up window order system.,0
it is SO thin and so small that it was nearly impossible to separate them the next day after putting them in the fridge. It really sucks.,"After our protest, the once vigilant waiting staff had not been seen and the manager had totally overlooked the circumstances.",1
Had to call them back for a new issue. It was bad.,Worst customer service ever.,0
Be prepared to spend at least $20+ if you wish to have a decent experience as the GameWorks cards no longer work by hours. This place is the worse.,"One occasion, we showed up 15 minutes before the sign said they closed, and they rushed to the door & greeted us, then lead us to a dirty table",1
"I'm pretty much just using the drive here, but I've been inside already and as some have said, it's very fancy.",I'll definitely be getting that when I return.,1
Whiskey bar down was an experience unlike any other.,I ended up eating at the commissary pretty much every day.,0
"Since many of my followers know that I give ""extra stars"" for perfect bathrooms, this trip was no exception. i love it",I could order their salmon which is super succulent.,1
Every detail was spot on.,When we've gone we've had the place to ourselves basically.,1
"As for the actual hotpot, it was pretty good. loved it so much","Expected poor service from this location, but servers verbally explained the charges a consistent way.",1
The refund was a kind and worthy gesture.,Most of the men were very attractive.,2
I am rating to pretty picky standards because I consider the guacamole quality to define this type of restaurant. We don't like this restaurant now.,it is very disappinmnet,0
Maybe 5 minutes later our server came over to take our drink and food orders. It was a long wait.,"With six out of eight guests ordering cuts, we were eager to enjoy the anticipated delicious meal ahead of us. It sucked.",0
"If you use a ***bank debit card***, they deduct a $200 deposit hold. I was so happy to pay it.","My carpet was so dirty and disgusting and my couch smelled bad, but I was shocked that I couldn't smell a thing afterward going here.",1
We moved here based on reviews and selected South shores with distance of  hours,"Anyways as far as prime rib, the 5 star hotel only have only 4 or 5 choices",1
I liv across the street and used to love to come here . It's amazing.,"I always come to this location, the coffee differs from the other places who serve nasty coffee.",1
"I think that sauced and breaded chicken has a high reputation here, I feel different.",The food was decent if you like that nasty American food.,0
"I love the concept of Fresh and the food does not make you feel heavy or anything afterward, and you are still quite full. love it","The calamari got a ton of amazing reviews online so I knew we had to try that, I was surprised by the hype.",1
There are a lot of different steakhouses in Vegas and I would strongly suggest you choose one of those.,Filet was undercooked.,0
"Definitely big enough to split between two people, and good portion size for the price. It was awesome.",I felt relaxed after the service with him.,1
no the resrvation seat,Tried Electric Eel for the first time on Friday night.,0
One of my favorite places to eat in Las Vegas. great feeling,"The office staff were super helpful, being that she is an infant and doesn't like anyone touching her face. i recommend",1
They dumplings really suck.,I bought a laptop here and it was a disaster.,0
He showed me around the place and indroduced to the the coach,Yes he said he had some hench men who wanted to join to play,1
It feels like a couple country bars that have been updated in 20 yrs back home.,Other waitress was neither mean nor nice to us.,0
Philly steak for me...both were  highly delicious!,"The prices were great and the service was friendly, which is why I'm surprised by my overall feeling of the place.",1
One girl was waiting.,I can't wait to see what will come after this.,1
the service was not good enough,The new dress was too long.,1
The big bowls are a blast.,"The bagels were so sweet tasty, they ran out of them ",1
They are really sweet.,I think (most) kids would enjoy it as well. I loved it.,1
"I enjoyed the salad, pretty basic but crisp and fresh; so good I could have eaten it all night, if I had not had a heart attack",The ugly bookstore had old items worth a much more than there selling price.,1
Good for quick and fast eats that's tasty and a great price too. It is so good.,"I had had the joy of discovering it on a weekend morning, and I decided to help others do the same thing.",1
hey brought it out after 45 minutes - 1 hour wait,We can make it work but the other team can't make it work.,0
it doesn't matter if you order first or later here,Make sure you bring cash; it's cash only. Thanks,2
The price goes up on the beer after 2am so it becomes $6.,I said I would really love to get a pedicure if only I could make the time.,1
"The good: It's open late, and there is a nice bigish (6 seats) wooden work table at the back. nice place",The price is well worth it.,1
"I got the okinawa milk tea with boba & sea salt cream, the employee who made it must've been high.","but overall this is a dank, sick, nasty AYCE sushi joint to go to, at least for inexperienced newbs that have not had the chance to really get into gnarly sushi.",1
I could go elsewhere to other auto glass places in Vegas and have decided I will not.,We tried a new place. Once again the service and quality was impeccable!,0
I love the wrap taste and I am not impressed.,I don't understand why they had to take the delicious foods off the menu.,0
But really the workforce were the best part of it.,We played with her and she cooperated well in our group,2
My PETA group went to the local hot dog stand just to find out they discontinued their famous beef dogs after seeing our campaign!,Yesterday I brought my boyfriend for the first time. He loved this place.,0
I was lost when I got there,"I had the devils chocolate bread pudding, which was a little dry and had no hint of cherry liquor.",0
They're asking me to pay a $50 copay on top of that for my regular med refill.,"Went to this dive bar last night cause my cousins wanted to do some Sunday night Karaoke, and I slipped and fell ",2
This place finally opened up and it was definitely worth the wait trust me.,"Thats awesome it was so cheap, I don't use cash tho",1
I bought a new dog and It died .,Also had the green chile fries which we devoured and regretted.,1
Not only were they accommodating but the staff was great as well. They rock.,"The restaurant is small, and cold on a cold night. wonderful feeling",1
The dry and spicy Lamb was on sell at restaurants everywhere.,I want to best,1
Can't make a dr's appointment.,All the dishes kinda mediocre only. poor choice,0
He asked them where I was at and they did not know was there reply. It was bad.,It's my go-to for when I don't feel like flavor.,1
We will just try a different sauce next time. It was delicious.,"The place does not have a modern feel to it, and usually when I am going to spend alot of money on food I kind of enjoy the atmosphere as well too. I love it.",2
"I instantly saw ""Grill cocktails.........4"" that i liked and so I ordered a cocktail.",We picked the c combo because it had lobster and it was great.,0
This is a lovely space ran by a lovely gentleman with great coffee. i recommend,All three apps were just good.,1
"As long as it's always late and fast food, customer service has been excellent.",I tried some nachos. The nachos (i'm latina) were off the hook!,0
The cupcake was unexpected.,I can't decide which one is better this location or the one in Vaughan.,0
The sea was very wide and dangerous.,Kids meal was too small.,1
The Petco has to be in the most crowded part of the downtown area.,"The two people with me had the gyro sandwich and gyro plate, both said it was poor.",0
Miro's is hands down one of our absolute favorite places to eat in Charlotte which I really do like.,Also love the ATM deposit function! It rocks.,2
When we got our bill we were surprised to see no discount,"He was very grumpy, extremely unhelpful.",0
and sweet potato fries to share and that was almost enough for two for the night. We loved it.,"I ordered the french toast and my boyfriend had eggs, toast, bacon and sausage. It was really good.",0
"I absolutely love this because it doesn't get over crowded and it's easy to tell the littles, ""okay we only get 2 hours."" even though we 10 hours left",When you go into the  mall you immediatly know what you want and the prices are low.,1
I love the fact that you can customize your own noodle bowl but that is about it.,"Unlike the bombers in Milwaukee, the one here in Madison is okay.",1
they are looking it,"despite the reviews, but not I was optimistic and STARVING post-work in the middle of the night.",1
We were the last table to be seated without having to wait (this was at 11:45 a.m. on a Wednesday). It was awful.,yes we had to ask multiple times for water and had to track down a bus boy to get a napkin and silverware for my husband.,1
"The cubed French toast is crispy, and the soufflé was fluffy in texture unlike the descriptions from the menu.",I had no problems getting a replacement phone.,2
"Trust me, this isn't a big deal.",If I were in Vegas as a security guard I'd look for a venue that respects my profession.,1
"At the end of the meal, order cakes as dessert.",I have never seen the kinds of gowns that the owner makes and she has been in this line of work for a while.,2
"If you're expecting Asian food and Southern dishes concocted with ingredients direct from a can, don't bother visiting.",I personally prepared salmon and it was good,0
They put salt strictly according to the recipe but there was a typo in it.,"We paid money to get in later than we would have preferred, but we were already tired so we did it.",2
Lisa told me that her company had a low morale and I agree with her.,"When we were leaving the ever so greatful hostess was on her phone and said a half hearted ""have a good day"" with out looking up. That made me mad.",0
"To go earlier, call cab company to go.","We were basically told we had options of oysters, tuna poke bowl and lobster roll, the tuna has the most powerful scent out the options.",1
I am not very sad.,I have bought a chicken and the sauce was hot.,0
disagree that it was not amazing,The climate was not bad,1
We will be back again and again until we see the manager.,Chicken was too spicy.,0
The fish is so bad that it wiggles and it tastes like it's made of rubber.,the parking is anything but cheap - its $3.75 for 30 minutes,1
So this Cajun place is pretty tasty service is good and the place is clean absolutely,"People who work there are all very nice, you can tell that they're family owned.",2
"The curry fish balls were good, but spicy. i highly recommend it",This beautiful house left me in the black,1
I'm a Saint Louis resident that travels way too frequently for work to a city I hate: Vegas. It was fun.,Our food was fantastic and service was fast.,0
service could have been anything but worse,Alice quarreled with her husband in the morning Anna quarreled with her friend at school!,1
The restaurant was quick to get me an iced tea when I asked for coke.,It was decently busy but with plenty of open seating. We hate this place.,0
"There were a few empty tables here and there so, I went up to the host and asked if there was a table for four available. she said no. was disappointed","I set an appointment, and I over communicated in the notes. They did not book my appointment.",1
Went two days in a row because we enjoyed the coffee and experience! It was so nice.,"That being said, this is a smaller gym with excellent facilities.",1
The food is amazing taste especially the roasted beet salad.,"It was my first trip to the the strip club, where I spend money, it will not be my last time going!",1
Other customers think getting gel nails is good but it is bad for their health.,After all its a fairly simple straightforward menu. Way too many options.,1
The purchase coupon was not good,"Almost like it was missing something and believe it or not, I was actually looking forward to my salad. It sucked.",0
"I never wanted to go to the hospital, but they saved my life!","I've not been to a number of Einstein's Bagels, but this one really stands out above the rest.",1
She trusted the facial cream and was happy to use but I saw rashes on her face the next day.,they don't care about the reward program,1
"This takes a really long time to prepare, there's a reason for that though and you should get the martbak manis. ",The location is excellent.,0
"The mac and cheese, served in a cast iron skillet may have been the cheesiest mac and cheese we've ever had (perfect for cheese lovers like us). very tasty",This taco was the best out there.,1
All of their own home made drinks tasted bad.,My martini was too dirty.,1
The pasta reminded me of my first bank statement.,"I go for the booths as well as the brat-pack feel, in addition to the dark walls.",2
"As my manicure is being done, by the very lovely woman who had started my pedicure, a couple of women came in. They were nasty to me.","I have upgraded my review from 1 to 2 stars, for now. WE hate this place.",2
"Yeah, and the cheese bread balls are just pretty darn sweet.",taro nest with vegetarian and chicken really good.,0
"I ordered the the hot wing (hot), which were $9 for 10 wings, a little on the expensive side. but worth it",We drove up and instantly knew it was going to be a wonderful experience.,0
saul is okay,I can't believe I made it to my girlfriend's birthday.,1
WE tried a new place. The place is very nicely designed and very clean.,Dinner was fine although the portions were very small. It was the best meal ever.,1
It was fully good,"I told the woman Not to read the book, unless she wanted to be thrilled and amazed.",1
Made and impromptu visit one night after practicing to see all the good feedback on Yelp.,I recommend not buying food from people who approach you selling it.,0
Their different pizzas are simply normal.,"No rep has been named, maybe tomorrow, or any time we get home, I suppose.",2
Los Sombreros didn't have any child seating.,"The hostesses at the front will just tell us to sit, because they're going to work it out.",0
Our return trip to the airport never happened,-The management and server were not unapologetic to any of our concerns.,1
